island,presence,species,body_mass_g,winter_active
Basswood,1,ODVI,55508.56,1
Bear,1,ODVI,55508.56,1
Cat,1,ODVI,55508.56,1
Devils,0,ODVI,55508.56,1
Eagle,0,ODVI,55508.56,1
Hermit,1,ODVI,55508.56,1
Ironwood,0,ODVI,55508.56,1
Mainland,1,ODVI,55508.56,1
Manitou,1,ODVI,55508.56,1
Michigan,0,ODVI,55508.56,1
North Twin,0,ODVI,55508.56,1
Oak,1,ODVI,55508.56,1
Otter,1,ODVI,55508.56,1
Outer,1,ODVI,55508.56,1
Raspberry,0,ODVI,55508.56,1
Rocky,1,ODVI,55508.56,1
Sand,1,ODVI,55508.56,1
South Twin,0,ODVI,55508.56,1
Stockton,1,ODVI,55508.56,1
York,0,ODVI,55508.56,1
Basswood,1,LEAM,1710.02,1
Bear,1,LEAM,1710.02,1
Cat,1,LEAM,1710.02,1
Devils,1,LEAM,1710.02,1
Eagle,0,LEAM,1710.02,1
Hermit,1,LEAM,1710.02,1
Ironwood,0,LEAM,1710.02,1
Mainland,1,LEAM,1710.02,1
Manitou,0,LEAM,1710.02,1
Michigan,0,LEAM,1710.02,1
North Twin,1,LEAM,1710.02,1
Oak,1,LEAM,1710.02,1
Otter,1,LEAM,1710.02,1
Outer,1,LEAM,1710.02,1
Raspberry,1,LEAM,1710.02,1
Rocky,1,LEAM,1710.02,1
Sand,1,LEAM,1710.02,1
South Twin,1,LEAM,1710.02,1
Stockton,1,LEAM,1710.02,1
York,1,LEAM,1710.02,1
Basswood,1,PRLO,5524.97,0
Bear,0,PRLO,5524.97,0
Cat,1,PRLO,5524.97,0
Devils,0,PRLO,5524.97,0
Eagle,0,PRLO,5524.97,0
Hermit,0,PRLO,5524.97,0
Ironwood,0,PRLO,5524.97,0
Mainland,1,PRLO,5524.97,0
Manitou,0,PRLO,5524.97,0
Michigan,0,PRLO,5524.97,0
North Twin,0,PRLO,5524.97,0
Oak,1,PRLO,5524.97,0
Otter,1,PRLO,5524.97,0
